"Date","storage","Reservoir"
20000101,71283,"FMD"
20000102,71181,"FMD"
20000103,71080,"FMD"
20000104,70878,"FMD"
20000105,70777,"FMD"
20000106,70575,"FMD"
20000107,70374,"FMD"
20000108,70273,"FMD"
20000109,70173,"FMD"
20000110,69972,"FMD"
20000111,70072,"FMD"
20000112,69871,"FMD"
20000113,69370,"FMD"
20000114,69171,"FMD"
20000115,69271,"FMD"
20000116,69370,"FMD"
20000117,69271,"FMD"
20000118,70072,"FMD"
20000119,70876,"FMD"
20000120,72299,"FMD"
20000121,72810,"FMD"
20000122,72912,"FMD"
20000123,72912,"FMD"
20000124,74663,"FMD"
20000125,75807,"FMD"
20000126,76329,"FMD"
20000127,76539,"FMD"
20000128,76329,"FMD"
20000129,76120,"FMD"
20000130,76120,"FMD"
20000131,75807,"FMD"
20000201,75598,"FMD"
20000202,75390,"FMD"
20000203,75494,"FMD"
20000204,75494,"FMD"
20000205,75702,"FMD"
20000206,76016,"FMD"
20000207,75807,"FMD"
20000208,75598,"FMD"
20000209,75494,"FMD"
20000210,75598,"FMD"
20000211,75911,"FMD"
20000212,76120,"FMD"
20000213,76854,"FMD"
20000214,80680,"FMD"
20000215,81868,"FMD"
20000216,82736,"FMD"
20000217,82736,"FMD"
20000218,82736,"FMD"
20000219,82736,"FMD"
20000220,82845,"FMD"
20000221,82736,"FMD"
20000222,82736,"FMD"
20000223,82627,"FMD"
20000224,82301,"FMD"
20000225,81976,"FMD"
20000226,81976,"FMD"
20000227,82519,"FMD"
20000228,82193,"FMD"
20000229,82084,"FMD"
20000301,81700,"FMD"
20000302,81300,"FMD"
20000303,81435,"FMD"
20000304,81651,"FMD"
20000305,81651,"FMD"
20000306,81327,"FMD"
20000307,81111,"FMD"
20000308,80896,"FMD"
20000309,80680,"FMD"
20000310,80358,"FMD"
20000311,80358,"FMD"
20000312,80358,"FMD"
20000313,80251,"FMD"
20000314,80144,"FMD"
20000315,80144,"FMD"
20000316,80036,"FMD"
20000317,79929,"FMD"
20000318,79715,"FMD"
20000319,80251,"FMD"
20000320,80036,"FMD"
20000321,80251,"FMD"
20000322,80358,"FMD"
20000323,80465,"FMD"
20000324,80465,"FMD"
20000325,80788,"FMD"
20000326,81111,"FMD"
20000327,81543,"FMD"
20000328,81868,"FMD"
20000329,82084,"FMD"
20000330,82301,"FMD"
20000331,82410,"FMD"
20000401,82845,"FMD"
20000402,83391,"FMD"
20000403,84267,"FMD"
20000404,85147,"FMD"
20000405,86476,"FMD"
20000406,87143,"FMD"
20000407,87813,"FMD"
20000408,89048,"FMD"
20000409,90178,"FMD"
20000410,90973,"FMD"
20000411,91887,"FMD"
20000412,92920,"FMD"
20000413,95236,"FMD"
20000414,95236,"FMD"
20000415,96405,"FMD"
20000416,98644,"FMD"
20000417,99832,"FMD"
20000418,100429,"FMD"
20000419,101147,"FMD"
20000420,101267,"FMD"
20000421,101988,"FMD"
20000422,102954,"FMD"
20000423,103802,"FMD"
20000424,104410,"FMD"
20000425,105020,"FMD"
20000426,105631,"FMD"
20000427,106736,"FMD"
20000428,107848,"FMD"
20000429,108842,"FMD"
20000430,109841,"FMD"
20000501,110720,"FMD"
20000502,111729,"FMD"
20000503,112743,"FMD"
20000504,113635,"FMD"
20000505,115045,"FMD"
20000506,115431,"FMD"
20000507,116854,"FMD"
20000508,119992,"FMD"
20000509,121447,"FMD"
20000510,122645,"FMD"
20000511,123447,"FMD"
20000512,123581,"FMD"
20000513,123581,"FMD"
20000514,123715,"FMD"
20000515,123984,"FMD"
20000516,123984,"FMD"
20000517,124253,"FMD"
20000518,124253,"FMD"
20000519,124522,"FMD"
20000520,124791,"FMD"
20000521,125196,"FMD"
20000522,125737,"FMD"
20000523,126279,"FMD"
20000524,127095,"FMD"
20000525,127504,"FMD"
20000526,127777,"FMD"
20000527,127914,"FMD"
20000528,128050,"FMD"
20000529,128324,"FMD"
20000530,128600,"FMD"
20000531,128700,"FMD"
20000601,128000,"FMD"
20000602,128050,"FMD"
20000603,127914,"FMD"
20000604,127504,"FMD"
20000605,127367,"FMD"
20000606,127095,"FMD"
20000607,126823,"FMD"
20000608,126687,"FMD"
20000609,126551,"FMD"
20000610,126143,"FMD"
20000611,125872,"FMD"
20000612,125601,"FMD"
20000613,125196,"FMD"
20000614,124926,"FMD"
20000615,124650,"FMD"
20000616,124522,"FMD"
20000617,124387,"FMD"
20000618,124387,"FMD"
20000619,124253,"FMD"
20000620,123984,"FMD"
20000621,123715,"FMD"
20000622,123581,"FMD"
20000623,123313,"FMD"
20000624,123046,"FMD"
20000625,122778,"FMD"
20000626,122378,"FMD"
20000627,121979,"FMD"
20000628,121580,"FMD"
20000629,121049,"FMD"
20000630,120785,"FMD"
20000701,120520,"FMD"
20000702,120388,"FMD"
20000703,120388,"FMD"
20000704,120256,"FMD"
20000705,119861,"FMD"
20000706,119597,"FMD"
20000707,119335,"FMD"
20000708,119203,"FMD"
20000709,119072,"FMD"
20000710,118810,"FMD"
20000711,118548,"FMD"
20000712,118286,"FMD"
20000713,118156,"FMD"
20000714,117764,"FMD"
20000715,117374,"FMD"
20000716,117113,"FMD"
20000717,116724,"FMD"
20000718,116206,"FMD"
20000719,115818,"FMD"
20000720,115431,"FMD"
20000721,115045,"FMD"
20000722,114659,"FMD"
20000723,114275,"FMD"
20000724,113763,"FMD"
20000725,113252,"FMD"
20000726,112998,"FMD"
20000727,112362,"FMD"
20000728,111729,"FMD"
20000729,111223,"FMD"
20000730,110845,"FMD"
20000731,110217,"FMD"
20000801,109591,"FMD"
20000802,108966,"FMD"
20000803,108344,"FMD"
20000804,107848,"FMD"
20000805,107353,"FMD"
20000806,106859,"FMD"
20000807,106367,"FMD"
20000808,105142,"FMD"
20000809,104654,"FMD"
20000810,104300,"FMD"
20000811,104045,"FMD"
20000812,103681,"FMD"
20000813,103317,"FMD"
20000814,102712,"FMD"
20000815,102109,"FMD"
20000816,101507,"FMD"
20000817,100907,"FMD"
20000818,100309,"FMD"
20000819,99713,"FMD"
20000820,99118,"FMD"
20000821,98289,"FMD"
20000822,97580,"FMD"
20000823,96991,"FMD"
20000824,96287,"FMD"
20000825,95703,"FMD"
20000826,95120,"FMD"
20000827,94650,"FMD"
20000828,94074,"FMD"
20000829,93496,"FMD"
20000830,93035,"FMD"
20000831,92345,"FMD"
20000901,91812,"FMD"
20000902,91279,"FMD"
20000903,91000,"FMD"
20000904,90746,"FMD"
20000905,90178,"FMD"
20000906,89499,"FMD"
20000907,88823,"FMD"
20000908,88261,"FMD"
20000909,87813,"FMD"
20000910,87366,"FMD"
20000911,86809,"FMD"
20000912,86254,"FMD"
20000913,85700,"FMD"
20000914,85368,"FMD"
20000915,84817,"FMD"
20000916,84377,"FMD"
20000917,84047,"FMD"
20000918,83500,"FMD"
20000919,82845,"FMD"
20000920,82193,"FMD"
20000921,81868,"FMD"
20000922,81327,"FMD"
20000923,81219,"FMD"
20000924,81219,"FMD"
20000925,80788,"FMD"
20000926,80358,"FMD"
20000927,79822,"FMD"
20000928,79395,"FMD"
20000929,78862,"FMD"
20000930,78862,"FMD"
20001001,78756,"FMD"
20001002,78756,"FMD"
20001003,78756,"FMD"
20001004,78756,"FMD"
20001005,78756,"FMD"
20001006,78850,"FMD"
20001007,78650,"FMD"
20001008,78331,"FMD"
20001009,77908,"FMD"
20001010,77485,"FMD"
20001011,77064,"FMD"
20001012,76539,"FMD"
20001013,76329,"FMD"
20001014,76225,"FMD"
20001015,76120,"FMD"
20001016,76016,"FMD"
20001017,75390,"FMD"
20001018,74663,"FMD"
20001019,74043,"FMD"
20001020,73425,"FMD"
20001021,73015,"FMD"
20001022,72605,"FMD"
20001023,71993,"FMD"
20001024,71384,"FMD"
20001025,70878,"FMD"
20001026,70374,"FMD"
20001027,69871,"FMD"
20001028,69671,"FMD"
20001029,69370,"FMD"
20001030,68871,"FMD"
20001031,68573,"FMD"
20001101,68077,"FMD"
20001102,67483,"FMD"
20001103,67089,"FMD"
20001104,66696,"FMD"
20001105,66305,"FMD"
20001106,65914,"FMD"
20001107,65330,"FMD"
20001108,64845,"FMD"
20001109,64266,"FMD"
20001110,63784,"FMD"
20001111,63114,"FMD"
20001112,62542,"FMD"
20001113,61878,"FMD"
20001114,61123,"FMD"
20001115,56956,"FMD"
20001116,59626,"FMD"
20001117,59069,"FMD"
20001118,58423,"FMD"
20001119,57871,"FMD"
20001120,56956,"FMD"
20001121,56141,"FMD"
20001122,55510,"FMD"
20001123,55061,"FMD"
20001124,54792,"FMD"
20001125,54168,"FMD"
20001126,53636,"FMD"
20001127,53194,"FMD"
20001128,52667,"FMD"
20001129,52229,"FMD"
20001130,51880,"FMD"
20001201,51532,"FMD"
20001202,50840,"FMD"
20001203,50496,"FMD"
20001204,50496,"FMD"
